timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-03-23T10:58:55Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:58:55Z,bangi-backend-mariadb-1,0.08%,105.2MiB / 160MiB,65.77%,251MB / 2.96MB,6.18MB / 1.28GB,11
2026-03-23T10:59:03Z,agitated_black,1.37%,20.1MiB / 7.655GiB,0.26%,32.3kB / 36.8kB,0B / 0B,16
2026-03-23T10:59:03Z,bangi-backend-backend-1,0.24%,52.51MiB / 160MiB,32.82%,59.5kB / 72.6kB,0B / 61.4kB,4
2026-03-23T10:59:03Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:59:03Z,bangi-backend-mariadb-1,0.07%,105.5MiB / 160MiB,65.92%,251MB / 2.96MB,6.18MB / 1.28GB,11
2026-03-23T10:59:11Z,agitated_black,1.33%,20.15MiB / 7.655GiB,0.26%,40.2kB / 46.1kB,0B / 0B,17
2026-03-23T10:59:11Z,bangi-backend-backend-1,0.44%,52.52MiB / 160MiB,32.83%,73.2kB / 88.3kB,0B / 61.4kB,4
2026-03-23T10:59:11Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:59:11Z,bangi-backend-mariadb-1,8.17%,105.5MiB / 160MiB,65.95%,251MB / 2.96MB,6.18MB / 1.29GB,11
2026-03-23T10:59:18Z,agitated_black,2.24%,20.73MiB / 7.655GiB,0.26%,47.7kB / 54.9kB,0B / 0B,17
2026-03-23T10:59:18Z,bangi-backend-backend-1,0.53%,52.77MiB / 160MiB,32.98%,83.4kB / 102kB,0B / 61.4kB,4
2026-03-23T10:59:18Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:59:18Z,bangi-backend-mariadb-1,0.12%,105.2MiB / 160MiB,65.77%,251MB / 2.96MB,6.18MB / 1.29GB,11
2026-03-23T10:59:25Z,agitated_black,1.61%,20.5MiB / 7.655GiB,0.26%,55.1kB / 63.6kB,0B / 0B,17
2026-03-23T10:59:25Z,bangi-backend-backend-1,0.66%,52.54MiB / 160MiB,32.84%,93.5kB / 115kB,0B / 61.4kB,4
2026-03-23T10:59:25Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:59:25Z,bangi-backend-mariadb-1,7.35%,105.5MiB / 160MiB,65.94%,251MB / 2.96MB,6.18MB / 1.29GB,11
2026-03-23T10:59:33Z,agitated_black,1.57%,20.04MiB / 7.655GiB,0.26%,65kB / 75.1kB,0B / 0B,17
2026-03-23T10:59:33Z,bangi-backend-backend-1,0.48%,52.54MiB / 160MiB,32.83%,107kB / 132kB,0B / 61.4kB,4
2026-03-23T10:59:33Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:59:33Z,bangi-backend-mariadb-1,0.12%,105.2MiB / 160MiB,65.76%,251MB / 2.97MB,6.18MB / 1.29GB,11
2026-03-23T10:59:41Z,agitated_black,3.32%,22.84MiB / 7.655GiB,0.29%,75.1kB / 87kB,0B / 0B,17
2026-03-23T10:59:41Z,bangi-backend-backend-1,0.91%,52.54MiB / 160MiB,32.83%,123kB / 152kB,0B / 61.4kB,4
2026-03-23T10:59:41Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:59:41Z,bangi-backend-mariadb-1,7.11%,105.2MiB / 160MiB,65.78%,251MB / 2.97MB,6.18MB / 1.29GB,11
2026-03-23T10:59:48Z,agitated_black,1.55%,22.36MiB / 7.655GiB,0.29%,86.6kB / 101kB,0B / 0B,17
2026-03-23T10:59:48Z,bangi-backend-backend-1,0.52%,52.55MiB / 160MiB,32.85%,143kB / 174kB,0B / 61.4kB,4
2026-03-23T10:59:48Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T10:59:48Z,bangi-backend-mariadb-1,0.11%,105.2MiB / 160MiB,65.78%,251MB / 2.98MB,6.18MB / 1.29GB,11
2026-03-23T10:59:55Z,agitated_black,1.82%,22.13MiB / 7.655GiB,0.28%,98.2kB / 114kB,0B / 0B,17
2026-03-23T10:59:55Z,bangi-backend-backend-1,0.68%,52.55MiB / 160MiB,32.85%,161kB / 197kB,0B / 61.4kB,4
2026-03-23T10:59:55Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
