timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-03-23T11:03:41Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:41Z,bangi-backend-mariadb-1,107.15%,109MiB / 160MiB,68.10%,251MB / 2.99MB,17.8MB / 1.29GB,17
2026-03-23T11:03:48Z,agitated_black,0.91%,78.4MiB / 7.655GiB,1.00%,244kB / 448kB,0B / 0B,17
2026-03-23T11:03:48Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,468kB / 322kB,205kB / 61.4kB,4
2026-03-23T11:03:48Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:48Z,bangi-backend-mariadb-1,100.15%,108.3MiB / 160MiB,67.67%,251MB / 2.99MB,18.2MB / 1.29GB,17
2026-03-23T11:03:55Z,bangi-backend-backend-1,0.01%,51.17MiB / 160MiB,31.98%,476kB / 330kB,205kB / 61.4kB,4
2026-03-23T11:03:55Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:03:55Z,bangi-backend-mariadb-1,100.38%,108.2MiB / 160MiB,67.63%,251MB / 2.99MB,18.5MB / 1.29GB,17
2026-03-23T11:04:03Z,bangi-backend-backend-1,2.88%,52.94MiB / 160MiB,33.09%,476kB / 330kB,205kB / 61.4kB,5
2026-03-23T11:04:03Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:04:03Z,bangi-backend-mariadb-1,100.21%,108.4MiB / 160MiB,67.74%,251MB / 2.99MB,18.7MB / 1.29GB,17
2026-03-23T11:04:11Z,bangi-backend-backend-1,91.74%,51.37MiB / 160MiB,32.11%,476kB / 331kB,205kB / 61.4kB,5
2026-03-23T11:04:11Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:04:11Z,bangi-backend-mariadb-1,100.23%,108.3MiB / 160MiB,67.67%,251MB / 2.99MB,19.1MB / 1.29GB,17
2026-03-23T11:04:18Z,bangi-backend-backend-1,0.01%,51.19MiB / 160MiB,31.99%,477kB / 332kB,205kB / 61.4kB,4
2026-03-23T11:04:18Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:04:18Z,bangi-backend-mariadb-1,100.16%,108.8MiB / 160MiB,67.97%,251MB / 2.99MB,19.3MB / 1.29GB,18
2026-03-23T11:04:25Z,bangi-backend-backend-1,0.01%,51.19MiB / 160MiB,31.99%,477kB / 332kB,205kB / 61.4kB,4
2026-03-23T11:04:25Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:04:25Z,bangi-backend-mariadb-1,99.99%,108.6MiB / 160MiB,67.86%,251MB / 2.99MB,19.3MB / 1.29GB,18
2026-03-23T11:04:33Z,bangi-backend-backend-1,0.01%,51.19MiB / 160MiB,31.99%,477kB / 332kB,205kB / 61.4kB,4
2026-03-23T11:04:33Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:04:33Z,bangi-backend-mariadb-1,107.23%,108.6MiB / 160MiB,67.88%,251MB / 2.99MB,19.3MB / 1.29GB,18
